Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
l_161333117,,,,,Lots And Land,"285,000 ",Guatemala,point2homes
l_146597118,,,0.222 ac Lot Size,,Lots and Land,"60,000  40",Guatemala,point2homes
l_146707449,,,,"('9,687.52 Sqft', ' sqft')",Lots and Land,"60,000  40",Guatemala,point2homes
l_160945811,1 Bed,1 Bath,,,Other,"615,000 ",Guatemala,point2homes
l_160171884,1 Bed,2 Baths,,,Other,"164,900 ",Guatemala,point2homes
l_161246190,3 Beds,3 Baths,,,Other,"525,000 ",Guatemala,point2homes
l_161042330,,,0.288 ac Lot Size,,Lots And Land,"7,950,000 ",Guatemala,point2homes
l_161246177,6 Beds,2 Baths,0.022 ac Lot Size,,Residential,"125,000 ",Guatemala,point2homes
l_154661369,3 Beds,2 Baths,0.026 ac Lot Size,,Residential,"700,000 ",Guatemala,point2homes
l_161042325,3 Beds,3 Baths,,,Other,"500,000 ",Guatemala,point2homes
l_161126266,,,0.031 ac Lot Size,,Lots And Land,"310,000 ",Guatemala,point2homes
l_161180963,2 Beds,2 Baths,,,Other,"154,000 ",Guatemala,point2homes
l_161246187,1 Bed,1 Bath,,,Other,"119,000 ",Guatemala,point2homes
l_160945782,3 Beds,3 Baths,,,Residential,"395,000 ",Guatemala,point2homes
l_161180961,4 Beds,4 Baths,,,Residential,"1,600,000 ",Guatemala,point2homes
l_160945781,2 Beds,2 Baths,,,Residential,"912,000 ",Guatemala,point2homes
l_160945783,6 Beds,5 Baths,,,Residential,"395,000 ",Guatemala,point2homes
l_161246183,2 Beds,2 Baths,,,Other,"181,500 ",Guatemala,point2homes
l_161126279,,,0.173 ac Lot Size,,Lots And Land,"690,000 ",Guatemala,point2homes
l_161246185,1 Bed,1 Bath,,,Other,"135,000 ",Guatemala,point2homes
l_161246188,2 Beds,2 Baths,,,Other,"260,000 ",Guatemala,point2homes
l_161042332,5 Beds,3 Baths,0.049 ac Lot Size,,Residential,"1,550,000 ",Guatemala,point2homes
l_158779556,,,0.93 ac Lot Size,,Lots And Land,"300,000 ",Guatemala,point2homes
l_154661449,,,0.173 ac Lot Size,,Lots And Land,179 ,Guatemala,point2homes
l_153050349,2 Beds,2 Baths,,,Other,"550,000 ",Guatemala,point2homes
l_154661425,,3 Baths,0.086 ac Lot Size,,Residential,"4,500,000 ",Guatemala,point2homes
l_153050540,3 Beds,2 Baths,0.024 ac Lot Size,,Residential,"875,000 ",Guatemala,point2homes
l_158779656,9 Beds,14 Baths,1.886 ac Lot Size,,Residential,"475,200 ",Guatemala,point2homes
l_154661428,3 Beds,3 Baths,,,Residential,"450,000 ",Guatemala,point2homes
l_154661258,4 Beds,6 Baths,,,Residential,"525,000 ",Guatemala,point2homes
l_153050037,,,4.789 ac Lot Size,,Lots And Land,"2,640,000 ",Guatemala,point2homes
l_155656886,3 Beds,3 Baths,,,Other,"450,000 ",Guatemala,point2homes
l_153050620,4 Beds,3 Baths,0.155 ac Lot Size,,Residential,"1,200,000 ",Guatemala,point2homes
l_158779588,,,,,Lots And Land,"280,000 ",Guatemala,point2homes
l_153050164,,,,,Lots And Land,"3,500,000 ",Guatemala,point2homes
l_160507165,2 Beds,2 Baths,,,Other,"160,000 ",Guatemala,point2homes
l_153049800,2 Beds,2 Baths,,,Other,"309,000 ",Guatemala,point2homes
l_159172146,,,0.158 ac Lot Size,,Lots And Land,"1,155,000 ",Guatemala,point2homes
l_153050106,,,0.242 ac Lot Size,,Lots And Land,"85,000 ",Guatemala,point2homes
l_153050731,,,6.56 ac Lot Size,,Lots And Land,57 ,Guatemala,point2homes
l_153050395,,,0.112 ac Lot Size,,Lots And Land,"130,000 ",Guatemala,point2homes
l_154661356,4 Beds,4 Baths,,,Residential,"650,000 ",Guatemala,point2homes
l_160254913,7 Beds,2 Baths,0.048 ac Lot Size,,Residential,"2,200,000 ",Guatemala,point2homes
l_160760334,3 Beds,1 Bath,0.031 ac Lot Size,,Other,"70,000 ",Guatemala,point2homes
l_153050246,,,62.158 ac Lot Size,,Lots And Land,7 ,Guatemala,point2homes
l_153050048,3 Beds,2 Baths,0.034 ac Lot Size,,Residential,"750,000 ",Guatemala,point2homes
l_153050919,5 Beds,5 Baths,0.338 ac Lot Size,,Residential,"425,000 ",Guatemala,point2homes
l_153049982,,6 Baths,,,Residential,"380,000 ",Guatemala,point2homes
l_154661296,,,0.437 ac Lot Size,,Residential,"6,000,000 ",Guatemala,point2homes
l_153087621,3 Beds,3 Baths,0.049 ac Lot Size,,Residential,"220,000 ",Guatemala,point2homes
