Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
l_161332607,4 Beds,3 Baths,0.036 ac Lot Size,,Residential,"255,000 ",Venezuela,point2homes
l_161332443,3 Beds,5 Baths,0.045 ac Lot Size,,Residential,"110,000 ",Venezuela,point2homes
l_158286691,6 Beds,3 Baths,,,Residential,"893,173.112565 ",Venezuela,point2homes
l_158288618,2 Beds,2 Baths,0.026 ac Lot Size,"('107 Sqft', ' sqft')",Condominium,"130,000 ",Venezuela,point2homes
l_150219880,9 Beds,10 Baths,0.988 ac Lot Size,"('18,298.65 Sqft', ' sqft')",Residential,"2,000,000 ",Venezuela,point2homes
l_150219871,3 Beds,4 Baths,,"('1,894.45 Sqft', ' sqft')",Condominium,"220,000 ",Venezuela,point2homes
l_160945258,7 Beds,6 Baths,0.173 ac Lot Size,"('4,305.56 Sqft', ' sqft')",Residential,"150,000 ",Venezuela,point2homes
l_150253552,1 Bed,2 Baths,,"('1,044.1 Sqft', ' sqft')",Condominium,"220,000 ",Venezuela,point2homes
l_150220645,2 Beds,2 Baths,,"('1,022.57 Sqft', ' sqft')",Condominium,"120,000 ",Venezuela,point2homes
l_161041767,2 Beds,2 Baths,0.02 ac Lot Size,,Residential,"27,000 ",Venezuela,point2homes
l_158273239,4 Beds,3 Baths,,,Residential,"97,000  13",Venezuela,point2homes
l_161245000,4 Beds,3 Baths,0.067 ac Lot Size,,Residential,"42,000 ",Venezuela,point2homes
l_160944978,3 Beds,3 Baths,0.028 ac Lot Size,,Residential,"39,000 ",Venezuela,point2homes
l_161244968,6 Beds,7 Baths,0.112 ac Lot Size,,Residential,"260,000 ",Venezuela,point2homes
l_161180551,2 Beds,2 Baths,0.017 ac Lot Size,,Residential,"24,000 ",Venezuela,point2homes
l_161078801,4 Beds,4 Baths,0.038 ac Lot Size,,Residential,"105,000 ",Venezuela,point2homes
l_158245685,,,0.03 ac Lot Size,,Residential,"25,000 ",Venezuela,point2homes
l_158249426,1 Bed,1 Bath,0.171 ac Lot Size,,Residential,"600,000 ",Venezuela,point2homes
l_158261281,2 Beds,2 Baths,0.021 ac Lot Size,,Residential,"76,000 ",Venezuela,point2homes
l_157383781,5 Beds,8 Baths,0.166 ac Lot Size,,Residential,"350,000 ",Venezuela,point2homes
l_158249918,4 Beds,5 Baths,0.105 ac Lot Size,,Residential,"290,000 ",Venezuela,point2homes
l_160312219,4 Beds,3 Baths,0.028 ac Lot Size,,Residential,"37,000 ",Venezuela,point2homes
l_158245330,,,0.148 ac Lot Size,,Residential,"90,000 ",Venezuela,point2homes
l_157554173,4 Beds,4 Baths,0.127 ac Lot Size,,Residential,"120,000 ",Venezuela,point2homes
l_158247346,3 Beds,2 Baths,0.025 ac Lot Size,,Residential,"95,000 ",Venezuela,point2homes
l_158271555,1 Bed,2 Baths,0.013 ac Lot Size,,Residential,"23,500 ",Venezuela,point2homes
l_158282487,4 Beds,4 Baths,0.085 ac Lot Size,,Residential,"36,000 ",Venezuela,point2homes
l_157131881,,,0.069 ac Lot Size,,Residential,"12,500 ",Venezuela,point2homes
l_158248693,2 Beds,2 Baths,0.016 ac Lot Size,,Residential,"38,000 ",Venezuela,point2homes
l_158250830,,,0.041 ac Lot Size,,Residential,"130,000 ",Venezuela,point2homes
l_158256752,4 Beds,4 Baths,0.045 ac Lot Size,,Residential,"100,000 ",Venezuela,point2homes
l_158248475,1 Bed,2 Baths,0.035 ac Lot Size,,Residential,"13,000 ",Venezuela,point2homes
l_158283015,3 Beds,2 Baths,0.035 ac Lot Size,,Residential,"14,500 ",Venezuela,point2homes
l_158245929,,,0.338 ac Lot Size,,Lots And Land,"28,000 ",Venezuela,point2homes
l_158249042,4 Beds,3 Baths,0.938 ac Lot Size,,Residential,"110,000 ",Venezuela,point2homes
l_158248466,5 Beds,4 Baths,0.094 ac Lot Size,,Residential,"18,000 ",Venezuela,point2homes
l_158253347,,,0.124 ac Lot Size,,Lots And Land,"22,000 ",Venezuela,point2homes
l_158266028,4 Beds,3 Baths,0.031 ac Lot Size,,Residential,"39,000 ",Venezuela,point2homes
l_158251108,,,0.093 ac Lot Size,,Lots And Land,"25,000 ",Venezuela,point2homes
l_158247966,,,0.618 ac Lot Size,,Lots And Land,"11,000 ",Venezuela,point2homes
l_160418043,3 Beds,2 Baths,0.041 ac Lot Size,,Residential,"12,000 ",Venezuela,point2homes
l_158253661,,,0.148 ac Lot Size,,Lots And Land,"22,000  3",Venezuela,point2homes
l_158245981,7 Beds,6 Baths,0.071 ac Lot Size,,Residential,"93,000 ",Venezuela,point2homes
l_158248024,4 Beds,5 Baths,0.128 ac Lot Size,,Residential,"690,000 ",Venezuela,point2homes
l_158255204,3 Beds,2 Baths,0.023 ac Lot Size,,Residential,"23,000 ",Venezuela,point2homes
l_157383558,2 Beds,2 Baths,0.05 ac Lot Size,,Residential,"20,000 ",Venezuela,point2homes
l_157383836,,,0.043 ac Lot Size,,Residential,"33,000 ",Venezuela,point2homes
l_157131939,,,0.073 ac Lot Size,,Lots And Land,"5,000 ",Venezuela,point2homes
