Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_157297359,2 Beds,2 Baths,,"('699.65 Sqft', ' sqft')",Residential,"163,001.869286 ",Brazil
l_157288287,3 Beds,4 Baths,,,Residential,"169,000 ",Brazil
l_157289004,3 Beds,3 Baths,,,Residential,"149,800 ",Brazil
l_157288282,3 Beds,4 Baths,,,Residential,"196,000 ",Brazil
l_157288270,2 Beds,2 Baths,,,Residential,"101,000 ",Brazil
l_157288247,4 Beds,7 Baths,,,Other,"1,284,000 ",Brazil
l_157290011,3 Beds,4 Baths,,,Other,"307,200 ",Brazil
l_157289998,3 Beds,3 Baths,,,Residential,"136,000 ",Brazil
l_157288987,2 Beds,2 Baths,,"('688.9 Sqft', ' sqft')",Residential,"164,254.409312 ",Brazil
l_157298039,2 Beds,3 Baths,0.025 ac Lot Size,"('957.99 Sqft', ' sqft')",Residential,"182,306.369516 ",Brazil
l_157289263,3 Beds,4 Baths,,,Residential,"390,604.997753 ",Brazil
l_157288253,1 Bed,1 Bath,,,Residential,"78,000 ",Brazil
l_157289681,3 Beds,2 Baths,,,Residential,"71,000 ",Brazil
l_157290043,3 Beds,3 Baths,,,Residential,"181,700 ",Brazil
l_154177231,1 Bed,2 Baths,0.015 ac Lot Size,"('645.83 Sqft', ' sqft')",Residential,"144,862.974431 ",Brazil
l_157289992,2 Beds,2 Baths,,,Residential,"104,000 ",Brazil
l_157290077,3 Beds,3 Baths,,,Other,"244,540 ",Brazil
l_157288973,3 Beds,2 Baths,,,Residential,"104,000 ",Brazil
l_157288265,2 Beds,2 Baths,,,Residential,"94,000 ",Brazil
l_157288276,2 Beds,1 Bath,,,Residential,"101,000 ",Brazil
l_157288959,,,,"('753.48 Sqft', ' sqft')",Residential,"65,100.832959 ",Brazil
l_157289253,7 Beds,9 Baths,,,Residential,"3,628,000 ",Brazil
l_157290056,3 Beds,2 Baths,,,Residential,"181,700 ",Brazil
l_157290048,2 Beds,2 Baths,,,Residential,"239,000 ",Brazil
l_157288259,2 Beds,2 Baths,,"('838,085.06 Sqft', ' sqft')",Residential,"220,333.082408 ",Brazil
l_157289673,2 Beds,2 Baths,,,Residential,"125,450 ",Brazil
l_157289687,4 Beds,5 Baths,,,Residential,"1,275,000 ",Brazil
l_157288980,3 Beds,2 Baths,,"('581.26 Sqft', ' sqft')",Residential,"98,148.373073 ",Brazil
l_157290062,3 Beds,4 Baths,,,Other,"244,540 ",Brazil
l_157289239,4 Beds,7 Baths,,"('4,785.03 Sqft', ' sqft')",Residential,"1,664,937.923587 ",Brazil
l_157297597,2 Beds,2 Baths,0.021 ac Lot Size,"('742.71 Sqft', ' sqft')",Residential,"168,766.127498 ",Brazil
l_157289989,2 Beds,2 Baths,,,Residential,"104,000 ",Brazil
l_157289981,2 Beds,2 Baths,,"('861.12 Sqft', ' sqft')",Residential,"150,227.101642 ",Brazil
l_157290068,4 Beds,3 Baths,,,Residential,"200,000 ",Brazil
l_157288969,3 Beds,4 Baths,,,Residential,"110,166.541204 ",Brazil
l_157289677,1 Bed,1 Bath,,,Residential,"78,000 ",Brazil
l_157288965,3 Beds,4 Baths,,,Residential,"380,570.841595 ",Brazil
l_157289245,4 Beds,6 Baths,,,Residential,"883,000 ",Brazil
l_157288999,3 Beds,2 Baths,,"('581.26 Sqft', ' sqft')",Residential,"98,147.217043 ",Brazil
l_158285759,,,0.024 ac Lot Size,"('62 Sqft', ' sqft')",Residential,"102,768.949463 ",Brazil
l_159894940,,,0.022 ac Lot Size,"('638.52 Sqft', ' sqft')",Residential,"159,238.852141 ",Brazil
l_158285435,2 Beds,2 Baths,0.021 ac Lot Size,"('893.4 Sqft', ' sqft')",Residential,"224,520.371905 ",Brazil
l_157289669,2 Beds,2 Baths,,"('731.95 Sqft', ' sqft')",Residential,"142,888.727584 ",Brazil
l_157289250,2 Beds,2 Baths,,"('818.06 Sqft', ' sqft')",Residential,"184,276.407509 ",Brazil
l_157288954,2 Beds,2 Baths,,,Residential,"62,800 ",Brazil
l_157290073,2 Beds,2 Baths,,,Residential,"67,800 ",Brazil
l_157290037,2 Beds,3 Baths,,,Residential,"97,700 ",Brazil
l_157290004,5 Beds,8 Baths,,,Residential,"7,411,116.388959 ",Brazil
l_157290016,2 Beds,2 Baths,,,Residential,"93,600 ",Brazil
l_157288991,2 Beds,2 Baths,,,Residential,"196,000 ",Brazil
l_159894939,2 Beds,2 Baths,,,Residential,"70,105.155031 ",Brazil
l_157289692,2 Beds,2 Baths,,,Residential,"75,000 ",Brazil
