Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
l_161332434,2 Beds,2 Baths,0.014 ac Lot Size,,Residential,"99,389.777195 ",Colombia,point2homes
l_161332702,3 Beds,4 Baths,0.018 ac Lot Size,,Residential,"95,023.817990 ",Colombia,point2homes
l_146641017,3 Beds,2 Baths,,"('947.22 Sqft', ' sqft')",Residential,"53,932.437237 ",Colombia,point2homes
l_158294431,3 Beds,2 Baths,,"('1,856.77 Sqft', ' sqft')",Residential,"97,592.029287 ",Colombia,point2homes
l_158295829,3 Beds,2 Baths,,"('1,248.61 Sqft', ' sqft')",Residential,"77,046.338911 ",Colombia,point2homes
l_129786801,3 Beds,3 Baths,,"('1,345.49 Sqft', ' sqft')",Residential,"71,909.916317 ",Colombia,point2homes
l_158294896,3 Beds,3 Baths,,"('1,462.17 Sqft', ' sqft')",Residential,"115,569.508366 ",Colombia,point2homes
l_129787157,3 Beds,2 Baths,,"('968.75 Sqft', ' sqft')",Residential,"56,500.648534 ",Colombia,point2homes
l_144307367,4 Beds,2 Baths,,"('2,109.73 Sqft', ' sqft')",Residential,"187,479.424682 ",Colombia,point2homes
l_157295290,3 Beds,2 Baths,,"('1,092.54 Sqft', ' sqft')",Residential,"148,956.255227 ",Colombia,point2homes
l_158297821,3 Beds,3 Baths,,"('1,367.02 Sqft', ' sqft')",Residential,"73,194.021965 ",Colombia,point2homes
l_145059040,3 Beds,3 Baths,,"('1,087.15 Sqft', ' sqft')",Residential,"154,092.677821 ",Colombia,point2homes
l_145058508,3 Beds,4 Baths,,"('1,732.99 Sqft', ' sqft')",Residential,"256,821.129702 ",Colombia,point2homes
l_145558509,3 Beds,5 Baths,,"('4,736.12 Sqft', ' sqft')",Residential,"1,142,854.027174 ",Colombia,point2homes
l_158286546,2 Beds,2 Baths,,"('738.62 Sqft', ' sqft')",Residential,"127,896.922592 ",Colombia,point2homes
l_144308245,3 Beds,2 Baths,,"('592.02 Sqft', ' sqft')",Residential,"102,728.451881 ",Colombia,point2homes
l_157293377,3 Beds,4 Baths,,"('1,614.59 Sqft', ' sqft')",Residential,0.000000 ,Colombia,point2homes
l_158294408,2 Beds,3 Baths,,"('1,011.81 Sqft', ' sqft')",Residential,"161,797.311712 ",Colombia,point2homes
l_129787090,3 Beds,3 Baths,,"('775 Sqft', ' sqft')",Residential,"115,569.508366 ",Colombia,point2homes
l_158285743,4 Beds,4 Baths,,"('1,797.57 Sqft', ' sqft')",Residential,"243,980.073217 ",Colombia,point2homes
l_143561869,1 Bed,2 Baths,,"('673.17 Sqft', ' sqft')",Residential,"102,728.451881 ",Colombia,point2homes
l_146455616,4 Beds,6 Baths,,"('2,798.62 Sqft', ' sqft')",Residential,"328,731.046019 ",Colombia,point2homes
l_143557771,3 Beds,3 Baths,,"('1,636.11 Sqft', ' sqft')",Residential,"125,858.975381 ",Colombia,point2homes
l_144305988,4 Beds,4 Baths,,"('3,153.83 Sqft', ' sqft')",Residential,"770,565.155395 ",Colombia,point2homes
l_157295907,3 Beds,4 Baths,,"('1,937.5 Sqft', ' sqft')",Residential,"423,810.835467 ",Colombia,point2homes
l_145488638,2 Beds,2 Baths,,"('1,001.04 Sqft', ' sqft')",Residential,"244,012.299208 ",Colombia,point2homes
l_140475735,3 Beds,2 Baths,,"('1,151.74 Sqft', ' sqft')",Residential,"308,226.062158 ",Colombia,point2homes
l_157297879,3 Beds,4 Baths,,"('1,593.06 Sqft', ' sqft')",Residential,"200,346.940403 ",Colombia,point2homes
l_144979097,3 Beds,4 Baths,,"('3,498.27 Sqft', ' sqft')",Residential,"847,621.670934 ",Colombia,point2homes
l_158293985,2 Beds,2 Baths,,"('1,119.45 Sqft', ' sqft')",Residential,"100,301.897727 ",Colombia,point2homes
l_145412927,3 Beds,2 Baths,,"('914.93 Sqft', ' sqft')",Residential,"48,802.459842 ",Colombia,point2homes
l_144308310,3 Beds,3 Baths,,"('1,216.32 Sqft', ' sqft')",Residential,"160,534.407374 ",Colombia,point2homes
l_143498724,3 Beds,2 Baths,,"('1,259.38 Sqft', ' sqft')",Residential,"141,270.278489 ",Colombia,point2homes
l_157297074,3 Beds,2 Baths,,"('799.11 Sqft', ' sqft')",Residential,"95,036.369165 ",Colombia,point2homes
l_129787244,4 Beds,5 Baths,,"('5,059.04 Sqft', ' sqft')",Residential,"898,992.681294 ",Colombia,point2homes
l_158294644,3 Beds,2 Baths,,"('990.28 Sqft', ' sqft')",Residential,"68,580.298830 ",Colombia,point2homes
l_157297460,,,,"('387.5 Sqft', ' sqft')",Residential,"63,700.052846 ",Colombia,point2homes
l_129787103,,,,"('10,763.91 Sqft', ' sqft')",Lots and Land,"513,710.103597 ",Colombia,point2homes
l_157295491,15 Beds,16 Baths,,"('4,542.37 Sqft', ' sqft')",Residential,"328,774.466302 ",Colombia,point2homes
l_145558565,3 Beds,1 Bath,,"('1,614.59 Sqft', ' sqft')",Residential,"308,235.353177 ",Colombia,point2homes
l_145098467,3 Beds,4 Baths,,"('2,938.55 Sqft', ' sqft')",Residential,"664,247.186096 ",Colombia,point2homes
l_129786804,3 Beds,3 Baths,,"('1,582.29 Sqft', ' sqft')",Residential,"136,137.280987 ",Colombia,point2homes
l_144308392,3 Beds,2 Baths,,"('1,011.81 Sqft', ' sqft')",Residential,"179,803.956020 ",Colombia,point2homes
l_129786789,,,0.21 ac Lot Size,"('10,602.45 Sqft', ' sqft')",Lots And Land,"215,764.747224 ",Colombia,point2homes
l_157297294,2 Beds,2 Baths,,"('72.36 Sqft', ' sqft')",Residential,"161,823.560418 ",Colombia,point2homes
l_144083024,3 Beds,5 Baths,,"('2,561.81 Sqft', ' sqft')",Residential,"357,039.284097 ",Colombia,point2homes
l_141506465,4 Beds,4 Baths,,"('2,884.73 Sqft', ' sqft')",Residential,"462,353.029766 ",Colombia,point2homes
l_144385113,3 Beds,3 Baths,,"('1,334.72 Sqft', ' sqft')",Residential,"179,803.956020 ",Colombia,point2homes
l_158300575,3 Beds,2 Baths,,"('1,054.86 Sqft', ' sqft')",Residential,"97,607.861839 ",Colombia,point2homes
l_157297874,3 Beds,2 Baths,,"('795.99 Sqft', ' sqft')",Residential,"96,323.547868 ",Colombia,point2homes
l_129786807,4 Beds,,,"('8,471.2 Sqft', ' sqft')",Residential,"505,698.626306 ",Colombia,point2homes
l_145098517,3 Beds,2 Baths,,"('1,108.68 Sqft', ' sqft')",Residential,"175,951.014105 ",Colombia,point2homes
l_144308072,3 Beds,2 Baths,,"('2,120.49 Sqft', ' sqft')",Residential,"184,941.211906 ",Colombia,point2homes
l_158296154,3 Beds,3 Baths,,"('1,689.93 Sqft', ' sqft')",Residential,"168,145.467512 ",Colombia,point2homes
l_144538755,3 Beds,2 Baths,,"('1,044.1 Sqft', ' sqft')",Residential,"70,087.582057 ",Colombia,point2homes
l_129787147,3 Beds,2 Baths,,"('1,288.22 Sqft', ' sqft')",Residential,"102,745.117726 ",Colombia,point2homes
l_143617502,2 Beds,2 Baths,,"('1,216.32 Sqft', ' sqft')",Residential,"174,671.870135 ",Colombia,point2homes
