Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_147037958,,,,,Residential,"49,900 ",Honduras
l_156434813,2 Beds,2 Baths,,"('1,729 Sqft', ' sqft')",Residential,"449,000 ",Honduras
l_146831650,,,17.15 ac Lot Size,,Lots And Land,"527,000 ",Honduras
l_155472313,14 Beds,14 Baths,,,Other,"13,000,000 ",Honduras
l_155472044,3 Beds,2 Baths,,,Residential,"440,000 ",Honduras
l_145098577,1 Bed,1 Bath,,,Condominium,"135,000 ",Honduras
l_154208909,,,,,Lots and Land,"49,000 ",Honduras
l_138466843,2 Beds,2 Baths,,,Residential,"499,000  96",Honduras
l_158288952,,,,,Residential,"1,400,000 ",Honduras
l_157163873,,,,,Residential,"49,900 ",Honduras
l_154299670,,,,,Residential,"49,000 ",Honduras
l_143088189,,,,,Lots And Land,"145,000 ",Honduras
l_152769362,,,,,Multifamily,"425,000 ",Honduras
l_154299662,,,7.5 ac Lot Size,,Lots and Land,"199,000 ",Honduras
l_158290697,,,,,Residential,"137,500 ",Honduras
l_158289736,,,,,Residential,"137,500 ",Honduras
l_153191787,,,0.64 ac Lot Size,,Lots and Land,"565,000 ",Honduras
l_161246184,3 Beds,1 Bath,0.049 ac Lot Size,,Residential,"1,300,000 ",Honduras
l_161246200,2 Beds,1 Bath,0.043 ac Lot Size,,Residential,"750,000 ",Honduras
l_161126281,,,0.059 ac Lot Size,,Lots And Land,"35,000 ",Honduras
l_157292962,,,0.21 ac Lot Size,,Residential,"175,000 ",Honduras
l_159377867,5 Beds,4 Baths,,,Residential,"690,000 ",Honduras
l_157605137,3 Beds,3 Baths,,"('1,560 Sqft', ' sqft')",Residential,"775,000 ",Honduras
l_159850535,4 Beds,2 Baths,0.25 ac Lot Size,"('2,000 Sqft', ' sqft')",Residential,"369,000 ",Honduras
l_150703965,,,0.59 ac Lot Size,,Lots And Land,"56,100 ",Honduras
l_145354328,,,,,Residential,"100,000 ",Honduras
l_158964432,,,0.945 ac Lot Size,,Residential,"200,000 ",Honduras
l_150294618,,,,,Lots And Land,"75,000 ",Honduras
l_150294579,,,,,Lots And Land,"250,000 ",Honduras
l_160507199,,,69.071 ac Lot Size,,Lots And Land,"160,000 ",Honduras
l_152120644,3 Beds,3 Baths,0.26 ac Lot Size,,Residential,"649,000 ",Honduras
l_158033409,19 Beds,21 Baths,0.156 ac Lot Size,,Other,"520,000 ",Honduras
l_108263935,,,,,Residential,"45,000 ",Honduras
l_150294599,,,,,Lots And Land,"59,000 ",Honduras
l_158285725,5 Beds,5 Baths,,,Residential,"440,000 ",Honduras
l_160507189,2 Beds,2 Baths,0.125 ac Lot Size,,Other,"140,000 ",Honduras
l_138334965,3 Beds,3 Baths,,,Residential,"839,000 ",Honduras
l_153973799,,,4.87 ac Lot Size,,Lots And Land,"6,700,000 ",Honduras
l_150412044,,,0.18 ac Lot Size,,Lots And Land,"94,591 ",Honduras
l_150412051,,,40.03 ac Lot Size,,Lots And Land,"4,900,000 ",Honduras
l_145351841,,,,,Residential,"250,000 ",Honduras
l_150412047,,,0.215 ac Lot Size,,Lots And Land,"33,000 ",Honduras
l_157295415,2 Beds,2 Baths,,"('717 Sqft', ' sqft')",Residential,"289,000 ",Honduras
l_107461670,,,,,Residential,"39,000 ",Honduras
l_150577586,,,0.394 ac Lot Size,,Lots And Land,"64,600 ",Honduras
l_158476788,3 Beds,3 Baths,0.5 ac Lot Size,"('1,800 Sqft', ' sqft')",Residential,"1,000,000 ",Honduras
l_109847341,,,,,Residential,"668,150 ",Honduras
l_114791929,4 Beds,4 Baths,,,Residential,"528,000 ",Honduras
l_150294619,,,,,Lots And Land,"79,500 ",Honduras
l_160507218,5 Beds,6 Baths,0.365 ac Lot Size,,Residential,"590,000 ",Honduras
l_143448763,,,,,Residential,"30,000 ",Honduras
l_153391026,2 Beds,2 Baths,,"('950 Sqft', ' sqft')",Residential,"195,000 ",Honduras
l_153051050,4 Beds,3 Baths,2.265 ac Lot Size,,Residential,"1,500,000 ",Honduras
l_145347546,,,,,Residential,"250,000 ",Honduras
l_150294610,,,,,Lots And Land,"250,000 ",Honduras
l_160507227,6 Beds,4 Baths,0.203 ac Lot Size,,Residential,"674,400 ",Honduras
