Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_152775452,2 Beds,2 Baths,,"('1,565.61 Sqft', ' sqft')",Residential,"363,625 ",Mexico
l_155536818,2 Beds,2 Baths,,"('968 Sqft', ' sqft')",Residential,"139,000 ",Mexico
l_152765640,5 Beds,6 Baths,,,Residential,"1,200,000 ",Mexico
l_159911135,3 Beds,3 Baths,0.344 ac Lot Size,"('2,700 Sqft', ' sqft')",Residential,"425,000 ",Mexico
l_156899498,2 Beds,2 Baths,,,Condominium,"565,000 ",Mexico
l_140506691,1 Bed,1 Bath,,"('505.9 Sqft', ' sqft')",Condominium,"159,000 ",Mexico
l_156033382,3 Beds,2 Baths,,,Residential,"399,999 ",Mexico
l_157539358,1 Bed,1 Bath,,"('603.64 Sqft', ' sqft')",Residential,"141,500 ",Mexico
l_156905005,4 Beds,3 Baths,0.307 ac Lot Size,"('4,230.22 Sqft', ' sqft')",Residential,"3,570,000 ",Mexico
l_143854158,2 Beds,2 Baths,,"('1,020.42 Sqft', ' sqft')",Residential,"186,400 ",Mexico
l_154740140,5 Beds,5 Baths,18.687 ac Lot Size,"('2,150 Sqft', ' sqft')",Lots and Land,"69,000 ",Mexico
l_158298564,5 Beds,5 Baths,,"('4,583.06 Sqft', ' sqft')",Condominium,"1,761,354.151226 ",Mexico
l_132728188,2 Beds,2 Baths,,"('1,291.67 Sqft', ' sqft')",Residential,"310,498 ",Mexico
l_158467985,1 Bed,1 Bath,,"('388 Sqft', ' sqft')",Residential,"159,000  20",Mexico
l_145566684,2 Beds,2 Baths,,"('1,713.61 Sqft', ' sqft')",Residential,"700,843 ",Mexico
l_157540638,3 Beds,2 Baths,,"('1,350 Sqft', ' sqft')",Residential,"229,000 ",Mexico
l_152709342,2 Beds,2 Baths,,"('1,130.21 Sqft', ' sqft')",Condominium,"385,000  47",Mexico
l_156111412,1 Bed,1 Bath,,"('484 Sqft', ' sqft')",Condominium,"13,955.838038 ",Mexico
l_152768989,2 Beds,3 Baths,,"('2,104.88 Sqft', ' sqft')",Residential,"656,850 ",Mexico
l_153507514,2 Beds,2 Baths,0.038 ac Lot Size,"('3,918.06 Sqft', ' sqft')",Condominium,"310,000 ",Mexico
l_153969412,2 Beds,2 Baths,,"('1,367.02 Sqft', ' sqft')",Residential,"353,616 ",Mexico
l_155305226,2 Beds,2 Baths,,"('1,238 Sqft', ' sqft')",Condominium,"440,000 ",Mexico
