Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
l_156609858,4 Beds,3 Baths,,,Residential,"649,000 ",Puerto Rico,point2homes
l_157899781,6 Beds,4 Baths,0.102 ac Lot Size,"('2,700 Sqft', ' sqft')",Multifamily,"925,000 ",Puerto Rico,point2homes
l_149121856,2 Beds,1 Bath,,"('2,755.56 Sqft', ' sqft')",Recreational,"410,000 ",Puerto Rico,point2homes
l_161015663,3 Beds,2 Baths,,"('1,232 Sqft', ' sqft')",Condominium,"465,000 ",Puerto Rico,point2homes
l_144400161,5 Beds,5 Baths,,"('4,800 Sqft', ' sqft')",Residential,"5,500,000 ",Puerto Rico,point2homes
l_121894908,2 Beds,2 Baths,,"('1,769 Sqft', ' sqft')",Condominium,"550,000 ",Puerto Rico,point2homes
l_154973299,,1 Bath,,"('463 Sqft', ' sqft')",Residential,"498,000 ",Puerto Rico,point2homes
l_141661283,4 Beds,4 Baths,0.33 ac Lot Size,"('4,424 Sqft', ' sqft')",Residential,"3,995,000 ",Puerto Rico,point2homes
l_159553574,7 Beds,4 Baths,,"('4,000 Sqft', ' sqft')",Residential,"2,590,000 ",Puerto Rico,point2homes
l_161702185,4 Beds,4 Baths,0.011 ac Lot Size,"('4,984 Sqft', ' sqft')",Residential,"775,000 ",Puerto Rico,point2homes
l_161702167,,,0.804 ac Lot Size,,Lots And Land,"165,000 ",Puerto Rico,point2homes
l_160960424,4 Beds,2 Baths,0.13 ac Lot Size,"('1,600 Sqft', ' sqft')",Residential,"260,000 ",Puerto Rico,point2homes
l_161709617,4 Beds,5 Baths,0.369 ac Lot Size,"('5,692 Sqft', ' sqft')",Residential,"895,000 ",Puerto Rico,point2homes
l_149704212,4 Beds,4 Baths,0.36 ac Lot Size,,Residential,"539,000 ",Puerto Rico,point2homes
l_161702168,,,0.033 ac Lot Size,,Lots And Land,"47,000 ",Puerto Rico,point2homes
l_161702180,,,0.003 ac Lot Size,"('1,324 Sqft', ' sqft')",Residential,"145,000 ",Puerto Rico,point2homes
l_161701080,4 Beds,2 Baths,,"('2,400 Sqft', ' sqft')",Residential,"750,000 ",Puerto Rico,point2homes
l_161702178,4 Beds,2 Baths,0.007 ac Lot Size,"('1,200 Sqft', ' sqft')",Residential,"77,000 ",Puerto Rico,point2homes
l_161702173,3 Beds,1 Bath,0.006 ac Lot Size,"('1,500 Sqft', ' sqft')",Residential,"80,000 ",Puerto Rico,point2homes
l_161702182,6 Beds,3 Baths,0.009 ac Lot Size,"('2,000 Sqft', ' sqft')",Residential,"320,000 ",Puerto Rico,point2homes
l_161702163,3 Beds,1 Bath,0.015 ac Lot Size,"('936 Sqft', ' sqft')",Residential,"44,900  15",Puerto Rico,point2homes
l_161693501,2 Beds,2 Baths,,"('1,014 Sqft', ' sqft')",Residential,"187,900 ",Puerto Rico,point2homes
l_161702174,4 Beds,3 Baths,0.008 ac Lot Size,"('1,000 Sqft', ' sqft')",Residential,"164,900 ",Puerto Rico,point2homes
l_161690697,3 Beds,3 Baths,,"('3,933 Sqft', ' sqft')",Residential,"2,895,000  705",Puerto Rico,point2homes
l_161769661,3 Beds,2 Baths,,"('1,791 Sqft', ' sqft')",Residential,"192,900 ",Puerto Rico,point2homes
l_161769659,3 Beds,1 Bath,0.004 ac Lot Size,"('800 Sqft', ' sqft')",MultiFamily,"70,000 ",Puerto Rico,point2homes
