,Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
0,l_148707254,1,1 Bath,,"('3,605 Sqft', ' sqft')",Residential,139999.0,nicaragua,point2homes
1,l_149525836,,,"4,401 ac Lot Size",,Residential,19194600.0,nicaragua,point2homes
2,l_161042355,2,2 Baths,0.188 ac Lot Size,,Residential,175000.0,nicaragua,point2homes
3,l_161126291,2,2 Baths,0.029 ac Lot Size,,Other,265000.0,nicaragua,point2homes
4,l_158346873,3,2 Baths,,"('4,305 Sqft', ' sqft')",Residential,649000.0,nicaragua,point2homes
5,l_159295730,3,3 Baths,0.303 ac Lot Size,,Residential,205000.0,nicaragua,point2homes
6,l_158299043,5,2 Baths,,,Residential,350000.0,nicaragua,point2homes
7,l_158295962,,,,"('8,611.13 Sqft', ' sqft')",Lots And Land,150000.0,nicaragua,point2homes
8,l_160507139,6,4 Baths,0.399 ac Lot Size,,Residential,520000.0,nicaragua,point2homes
9,l_158292079,2,2 Baths,,"('1,711.46 Sqft', ' sqft')",Residential,325000.0,nicaragua,point2homes
10,l_159295755,4,4 Baths,0.389 ac Lot Size,,Residential,420000.0,nicaragua,point2homes
11,l_158856637,3,2 Baths,0.104 ac Lot Size,,Residential,218500.0,nicaragua,point2homes
12,l_159326089,4,4 Baths,0.355 ac Lot Size,,Residential,237000.0,nicaragua,point2homes
13,l_158427204,4,4 Baths,0.297 ac Lot Size,,Residential,210000.0,nicaragua,point2homes
14,l_158300042,5,5 Baths,,,Residential,570000.0,nicaragua,point2homes
15,l_158288698,4,3 Baths,,"('4,107 Sqft', ' sqft')",Residential,869000.0,nicaragua,point2homes
16,l_158299956,2,2 Baths,,"('1,517.71 Sqft', ' sqft')",Residential,16900020.0,nicaragua,point2homes
17,l_158300040,4,3 Baths,,,Residential,869000.0,nicaragua,point2homes
18,l_158113684,2,1 Bath,0.063 ac Lot Size,,Residential,85000.0,nicaragua,point2homes
19,l_138893940,2,2 Baths,,,Residential,249500.0,nicaragua,point2homes
20,l_159295726,3,2 Baths,0.132 ac Lot Size,,Residential,171500.0,nicaragua,point2homes
21,l_157781189,2,1 Bath,0.038 ac Lot Size,,Residential,50000.0,nicaragua,point2homes
22,l_158300116,9,7 Baths,,,Residential,650000.0,nicaragua,point2homes
23,l_155975743,,,,"('16,608.71 Sqft', ' sqft')",Residential,179000.0,nicaragua,point2homes
24,l_147087755,3,3 Baths,0.188 ac Lot Size,,Residential,276200.0,nicaragua,point2homes
25,l_159709152,4,4 Baths,,"('4,300 Sqft', ' sqft')",Residential,460000.0,nicaragua,point2homes
26,l_159295719,3,2 Baths,0.136 ac Lot Size,,Residential,145000.0,nicaragua,point2homes
27,l_153876199,,,,,Lots and Land,13400015.0,nicaragua,point2homes
28,l_157288218,,,,"('11,775.72 Sqft', ' sqft')",Lots And Land,58000.0,nicaragua,point2homes
29,l_158295302,2,2 Baths,,"('51,795.94 Sqft', ' sqft')",Residential,258985.0,nicaragua,point2homes
30,l_151715075,2,1 Bath,0.049 ac Lot Size,,Residential,490006.0,nicaragua,point2homes
31,l_154958214,2,2 Baths,,"('240 Sqft', ' sqft')",Residential,284985.0,nicaragua,point2homes
32,l_154788845,3,3 Baths,,"('2,200 Sqft', ' sqft')",Residential,699000.0,nicaragua,point2homes
33,l_140043398,2,2 Baths,,,Residential,195000.0,nicaragua,point2homes
34,l_155148973,3,3 Baths,0.208 ac Lot Size,,Residential,260000.0,nicaragua,point2homes
35,l_155777354,5,5 Baths,0.484 ac Lot Size,,Residential,1199000.0,nicaragua,point2homes
36,l_158294476,2,2 Baths,,"('4,843.76 Sqft', ' sqft')",Residential,260000.0,nicaragua,point2homes
37,l_157293053,8,9 Baths,,"('11,571.2 Sqft', ' sqft')",Residential,680000.0,nicaragua,point2homes
38,l_157294137,2,2 Baths,,"('7,287.17 Sqft', ' sqft')",Residential,199000.0,nicaragua,point2homes
39,l_159295909,3,3 Baths,0.432 ac Lot Size,,Residential,200000.0,nicaragua,point2homes
40,l_159295728,4,4 Baths,0.371 ac Lot Size,,Residential,214000.0,nicaragua,point2homes
41,l_158295979,4,5 Baths,,"('5,866.33 Sqft', ' sqft')",Residential,405000.0,nicaragua,point2homes
42,l_150703959,3,3 Baths,0.243 ac Lot Size,,Residential,16900030.0,nicaragua,point2homes
