Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
93789246,5,4,,6081.6035 ft sqr,Villa,"679,000",costa-rica,properstar.com
92216591,,3,,,New house,"1,075,000",costa-rica,properstar.com
95568419,5,3,,4068.7542 ft sqr,House,"2,507,575",costa-rica,properstar.com
95431330,4,3,,3659.7259999999997 ft sqr,House,"420,000",costa-rica,properstar.com
95429297,,,,6802.784799999999 ft sqr,Apartment,"6,450,000",costa-rica,properstar.com
96000095,5,4,,4305.5599999999995 ft sqr,House,"849,000",costa-rica,properstar.com
95370159,,,,4693.060399999999 ft sqr,Apartment,"4,250,000",costa-rica,properstar.com
95344826,1,1,,,House,"225,000",costa-rica,properstar.com
95319270,4,3,,,House,"825,000",costa-rica,properstar.com
95318755,7,4,,,House,"465,000",costa-rica,properstar.com
95318161,4,3,,13885.430999999999 ft sqr,House,"799,000",costa-rica,properstar.com
95908706,,,,,,"2,500,000",costa-rica,properstar.com
95508217,3,2,,,House,"435,000",costa-rica,properstar.com
95901604,,,,,,"750,000",costa-rica,properstar.com
95878793,,,,,,"350,000",costa-rica,properstar.com
95877786,3,2,,,House,"679,000",costa-rica,properstar.com
95850438,3,2,,1453.1264999999999 ft sqr,Detached house,525,costa-rica,properstar.com
95850262,3,3,,807.2925 ft sqr,Furnished apartment,"279,000",costa-rica,properstar.com
95825956,2,1,,,Detached house,"127,490",costa-rica,properstar.com
95236157,5,5,,,Villa,"820,000",costa-rica,properstar.com
95829526,,2,,,Semi-Detached,"875,000",costa-rica,properstar.com
95733674,,,,,,"3,500,000",costa-rica,properstar.com
95105797,3,2,,4574.6575 ft sqr,Detached house,"302,000",costa-rica,properstar.com
95678285,2,2,,,House,"479,000",costa-rica,properstar.com
95733352,3,3,,4047.2264 ft sqr,House,"480,000",costa-rica,properstar.com
95733303,,,,,,"40,000",costa-rica,properstar.com
96000620,,,,,,"1,325,000",costa-rica,properstar.com
95588150,,,,,,"550,000",costa-rica,properstar.com
95999518,3,3,,3121.531 ft sqr,House in village,"1,450,000",costa-rica,properstar.com
95996811,4,3,,3799.6567 ft sqr,Commercial premises,"1,907,937",costa-rica,properstar.com
95996799,,,,,,"1,291,946",costa-rica,properstar.com
95969524,5,5,,,Detached house,"4,250,000",costa-rica,properstar.com
