Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
95997907,,2,,,New apartment,"176,835",dominican-republic,properstar.com
95908708,,2,,1700.6961999999999 ft sqr,House,"162,500",dominican-republic,properstar.com
95908540,,2,,,New apartment,"89,079",dominican-republic,properstar.com
95974416,3,2,,1184.029 ft sqr,Villa,"114,000",dominican-republic,properstar.com
95942814,2,2,,,Apartment,"175,000",dominican-republic,properstar.com
95941474,,4,,4736.116 ft sqr,House,"1,300,000",dominican-republic,properstar.com
89094263,,2,,861.112 ft sqr,Apartment,"195,000",dominican-republic,properstar.com
95939215,,,,,Commercial premises,"80,500",dominican-republic,properstar.com
90265647,1,2,,592.0145 ft sqr,New apartment,"145,000",dominican-republic,properstar.com
95908458,3,3,,,New house,"218,050",dominican-republic,properstar.com
95908329,2,1,,,Apartment,"160,000",dominican-republic,properstar.com
95907289,1,1,,645.834 ft sqr,Apartment,"100,000",dominican-republic,properstar.com
95877247,3,3,,2152.7799999999997 ft sqr,Villa,"263,485",dominican-republic,properstar.com
95877032,1,1,,,New apartment,"125,000",dominican-republic,properstar.com
95827217,2,2,,,Apartment,"136,500",dominican-republic,properstar.com
95826784,,,,,,1,dominican-republic,properstar.com
95676906,,5,,3756.6011 ft sqr,Villa,"270,000",dominican-republic,properstar.com
95826303,2,2,,,New apartment,"359,000",dominican-republic,properstar.com
95825173,3,3,,1388.5430999999999 ft sqr,Villa,"340,000",dominican-republic,properstar.com
95811598,7,,,10763.9 ft sqr,House,"2,650,000",dominican-republic,properstar.com
95789351,1,1,,753.473 ft sqr,Furnished apartment,"330,000",dominican-republic,properstar.com
95788944,,1,,43.0556 ft sqr,Plot of land,"2,100",dominican-republic,properstar.com
95788678,,2,,1022.5704999999999 ft sqr,Apartment,"231,322",dominican-republic,properstar.com
95760320,1,1,,602.7783999999999 ft sqr,New apartment,"129,990",dominican-republic,properstar.com
95733301,,,,,Penthouse,"73,886",dominican-republic,properstar.com
95731025,,3,,3702.7816 ft sqr,Villa,"325,500",dominican-republic,properstar.com
95703714,1,1,,,Apartment,"197,815",dominican-republic,properstar.com
95704761,3,3,,1388.5430999999999 ft sqr,Apartment,"272,808",dominican-republic,properstar.com
94396861,3,4,,1980.5575999999999 ft sqr,Penthouse,"475,000",dominican-republic,properstar.com
95702384,2,2,,1711.4601 ft sqr,Apartment,"360,000",dominican-republic,properstar.com
95679107,2,2,,1173.2650999999998 ft sqr,Apartment,"194,000",dominican-republic,properstar.com
95678512,3,3,,,Furnished apartment,"650,000",dominican-republic,properstar.com
95676567,,1,,559.7228 ft sqr,Furnished apartment,"98,000",dominican-republic,properstar.com
95676501,3,2,,,Villa,"385,000",dominican-republic,properstar.com
95676479,,1,,1442.3626 ft sqr,Terraced apartment,"272,729",dominican-republic,properstar.com
92899394,57,57,,,Hotel,"4,600,000",dominican-republic,properstar.com
95655826,,,,,Plot,"95,700",dominican-republic,properstar.com
95401280,,3,,1722.224 ft sqr,Villa,"295,000",dominican-republic,properstar.com
95645181,2,2,,,Apartment,"81,246",dominican-republic,properstar.com
95645091,4,4,,4047.2264 ft sqr,Penthouse,"850,000",dominican-republic,properstar.com
95592709,2,2,,,Furnished apartment,"330,000",dominican-republic,properstar.com
95588919,,,,,,"1,264,000",dominican-republic,properstar.com
95563833,2,2,,914.9314999999999 ft sqr,New apartment,"251,745",dominican-republic,properstar.com
95563830,5,4,,3229.17 ft sqr,Furnished house,"310,000",dominican-republic,properstar.com
95563154,,7,,10763.9 ft sqr,House,"2,650,000",dominican-republic,properstar.com
95533707,2,2,,,New apartment,"294,271",dominican-republic,properstar.com
95560206,1,2,,1496.1821 ft sqr,Building,"199,882",dominican-republic,properstar.com
95339277,2,2,,1270.1402 ft sqr,Furnished apartment,"545,000",dominican-republic,properstar.com
95339546,,5,,4531.6019 ft sqr,Property,"750,000",dominican-republic,properstar.com
95339379,,1,,753.473 ft sqr,Furnished apartment,"134,900",dominican-republic,properstar.com
95547812,1,1,,570.4866999999999 ft sqr,New apartment,"139,000",dominican-republic,properstar.com
95532966,2,2,,1636.1127999999999 ft sqr,Townhouse,"160,000",dominican-republic,properstar.com
95532658,,,,,New apartment,"95,000",dominican-republic,properstar.com
95532588,2,2,,1797.5712999999998 ft sqr,Townhouse,"170,000",dominican-republic,properstar.com
94875090,2,2,,1291.668 ft sqr,New apartment,"195,000",dominican-republic,properstar.com
94875169,1,1,,559.7228 ft sqr,New apartment,"91,000",dominican-republic,properstar.com
94875004,2,2,,1969.7937 ft sqr,Villa,"129,000",dominican-republic,properstar.com
95532375,,,,,,"16,669,620",dominican-republic,properstar.com
95479290,,,,,,"1,250,000",dominican-republic,properstar.com
95409324,2,2,,1302.4319 ft sqr,New apartment,"367,000",dominican-republic,properstar.com
95466787,,,,1119.4456 ft sqr,Apartment,"171,600",dominican-republic,properstar.com
95430030,3,4,,1829.8629999999998 ft sqr,Villa,"450,000",dominican-republic,properstar.com
95430297,,,,10.7639 ft sqr,Villa,"210,000",dominican-republic,properstar.com
95428260,1,1,,,Building,"92,041",dominican-republic,properstar.com
95430046,,2,,1302.4319 ft sqr,Terraced apartment,"231,322",dominican-republic,properstar.com
95430202,,1,,505.9033 ft sqr,Office,"150,400",dominican-republic,properstar.com
95466787,,,,1119.4456 ft sqr,Apartment,"171,600",dominican-republic,properstar.com
95430030,3,4,,1829.8629999999998 ft sqr,Villa,"450,000",dominican-republic,properstar.com
95430297,,,,10.7639 ft sqr,Villa,"210,000",dominican-republic,properstar.com
95428260,1,1,,,Building,"92,041",dominican-republic,properstar.com
95430046,,2,,1302.4319 ft sqr,Terraced apartment,"231,322",dominican-republic,properstar.com
